2025-08-30 19:22:47.539 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 19:22:47.550 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by opens (API Key: Test API Key)
2025-08-30 19:24:04.469 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 19:24:04.473 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion rate (API Key: Test API Key)
2025-08-30 19:25:00.037 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 19:25:00.041 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-30 19:30:24.008 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 19:30:24.011 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-30 19:31:28.909 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 19:31:28.912 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 5 campaigns by conversion rate (API Key: Test API Key)
2025-08-30 19:33:09.804 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 19:33:09.807 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 5 campaigns by conversion_rate (API Key: Test API Key)
2025-08-30 19:43:58.605 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 19:43:58.608 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 5 campaigns by conversion_rate (API Key: Test API Key)
2025-08-30 19:47:23.226 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 19:47:23.228 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 5 campaigns by conversion_rate (API Key: Test API Key)
2025-08-30 19:54:15.611 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 19:54:15.614 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 5 campaigns by conversion_rate (API Key: Test API Key)
2025-08-30 20:00:12.544 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 20:00:12.547 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 5 campaigns by conversion_rate (API Key: Test API Key)
2025-08-30 20:03:05.740 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 20:03:05.741 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 5 campaigns by conversion_rate (API Key: Test API Key)
2025-08-30 20:08:50.991 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 20:08:50.993 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 5 campaigns by conversion_rate (API Key: Test API Key)
2025-08-30 20:09:42.344 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 20:09:42.347 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 5 campaigns by conversion_rate (API Key: Test API Key)
2025-08-30 20:10:15.165 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 20:10:15.168 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 20 campaigns by conversion_rate (API Key: Test API Key)
2025-08-30 21:33:12.691 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 21:33:12.695 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 5 campaigns by conversion_rate (API Key: Test API Key)
2025-08-30 21:40:58.259 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-30 21:40:58.262 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 08:38:14.105 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 08:38:14.113 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 08:50:41.790 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 08:50:41.792 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 09:12:00.236 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 09:12:00.240 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 09:26:45.612 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 09:26:45.619 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 09:27:19.346 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 09:27:19.348 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 09:27:46.274 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 09:27:46.278 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 09:36:59.183 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 09:36:59.187 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 09:41:46.812 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 09:41:46.814 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 10:21:12.779 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 10:21:12.781 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 10:30:12.333 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 10:30:12.339 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 10:31:51.402 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 10:31:51.411 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 10:32:47.245 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 10:32:47.248 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion rate (API Key: Test API Key)
2025-08-31 10:33:59.810 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 10:33:59.815 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by conversion rate (API Key: Test API Key)
2025-08-31 10:35:02.370 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 10:35:02.374 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 10 campaigns by open_rate (API Key: Test API Key)
2025-08-31 10:36:53.531 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 10:36:53.543 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 3 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 10:40:09.990 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 10:40:09.994 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 4 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 19:47:57.816 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 19:47:57.825 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 2 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 19:49:47.215 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 19:49:47.219 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 1 campaigns by conversion_rate (API Key: Test API Key)
2025-08-31 19:57:35.668 | INFO     | main:verify_api_key:154 - Valid API key used: Test API Key
2025-08-31 19:57:35.671 | INFO     | main:get_top_campaigns_by_metric:267 - API: Getting top 11 campaigns by conversion_rate (API Key: Test API Key)
